,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,BIRTHDATE,COUNTRY,DISPLAY_FI_LAST,DLEAGUE_FLAG,DRAFT_NUMBER,DRAFT_ROUND,DRAFT_YEAR,FIRST_NAME,HEIGHT,JERSEY,LAST_AFFILIATION,LAST_NAME,NBA_FLAG,POSITION,SCHOOL,SEASON_EXP,WEIGHT
0,76001.0,"Abdelnaby, Alaa",Alaa Abdelnaby,0.0,1990,1994,HISTADD_alaa_abdelnaby,0.0,,,,,Y,1968-06-24T00:00:00,USA,A. Abdelnaby,N,25,1,1990,Alaa,6-10,30,Duke/USA,Abdelnaby,Y,Forward,Duke,4.0,240
1,76002.0,"Abdul-Aziz, Zaid",Zaid Abdul-Aziz,0.0,1968,1977,HISTADD_zaid_abdul-aziz,0.0,,,,,Y,1946-04-07T00:00:00,USA,Z. Abdul-Aziz,N,5,1,1968,Zaid,6-9,54,Iowa State/USA,Abdul-Aziz,Y,Center,Iowa State,9.0,235
2,76003.0,"Abdul-Jabbar, Kareem",Kareem Abdul-Jabbar,0.0,1969,1988,HISTADD_kareem_abdul-jabbar,0.0,,,,,Y,1947-04-16T00:00:00,USA,K. Abdul-Jabbar,N,1,1,1969,Kareem,7-2,33,UCLA/USA,Abdul-Jabbar,Y,Center,UCLA,19.0,225
3,51.0,"Abdul-Rauf, Mahmoud",Mahmoud Abdul-Rauf,0.0,1990,2000,mahmoud_abdul-rauf,0.0,,,,,Y,1969-03-09T00:00:00,USA,M. Abdul-Rauf,N,3,1,1990,Mahmoud,6-1,1,Louisiana State/USA,Abdul-Rauf,Y,Guard,Louisiana State,8.0,162
4,1505.0,"Abdul-Wahad, Tariq",Tariq Abdul-Wahad,0.0,1997,2003,tariq_abdul-wahad,0.0,,,,,Y,1974-11-03T00:00:00,France,T. Abdul-Wahad,N,11,1,1997,Tariq,6-6,9,San Jose State/France,Abdul-Wahad,Y,Forward-Guard,San Jose State,6.0,235
5,949.0,"Abdur-Rahim, Shareef",Shareef Abdur-Rahim,0.0,1996,2007,shareef_abdur-rahim,0.0,,,,,Y,1976-12-11T00:00:00,USA,S. Abdur-Rahim,N,3,1,1996,Shareef,6-9,3,California/USA,Abdur-Rahim,Y,Forward,California,12.0,245
6,76005.0,"Abernethy, Tom",Tom Abernethy,0.0,1976,1980,HISTADD_tom_abernethy,0.0,,,,,Y,1954-05-06T00:00:00,USA,T. Abernethy,N,43,3,1976,Tom,6-7,5,Indiana/USA,Abernethy,Y,Forward,Indiana,4.0,220
7,76006.0,"Able, Forest",Forest Able,0.0,1956,1956,HISTADD_frosty_able,0.0,,,,,Y,1932-07-27T00:00:00,USA,F. Able,N,,,1956,Forest,6-3,6,Western Kentucky; Louisville/USA,Able,Y,Guard,Western Kentucky,0.0,180
8,76007.0,"Abramovic, John",John Abramovic,0.0,1946,1947,HISTADD_brooms_abramovic,0.0,,,,,Y,1919-02-09T00:00:00,USA,J. Abramovic,N,Undrafted,Undrafted,Undrafted,John,6-3,,Salem (NC)/USA,Abramovic,Y,Forward,Salem International,1.0,195
9,203518.0,"Abrines, Alex",Alex Abrines,1.0,2016,2018,alex_abrines,1610612760.0,Oklahoma City,Thunder,OKC,thunder,Y,1993-08-01T00:00:00,Spain,A. Abrines,N,32,2,2013,Alex,6-6,8,Spain/Spain,Abrines,Y,Guard,,2.0,200
