,TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION,CONF_RANK,DIV_RANK,L,MAX_YEAR,MIN_YEAR,PCT,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_CONFERENCE,TEAM_DIVISION,TEAM_NAME,W
0,1610612737.0,ATL,Hawks,1949.0,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Lloyd Pierce,Erie Bayhawks,12.0,5.0,32.0,2018,1949,0.304,2018-19,ATL,Atlanta,hawks,East,Southeast,Hawks,14.0
1,1610612738.0,BOS,Celtics,1946.0,Boston,TD Garden,18624,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws,5.0,3.0,18.0,2018,1946,0.581,2018-19,BOS,Boston,celtics,East,Atlantic,Celtics,25.0
2,1610612739.0,CLE,Cavaliers,1970.0,Cleveland,Quicken Loans Arena,20562,Dan Gilbert,Koby Altman,Larry Drew,Canton Charge,15.0,5.0,35.0,2018,1970,0.205,2018-19,CLE,Cleveland,cavaliers,East,Central,Cavaliers,9.0
3,1610612740.0,NOP,Pelicans,2002.0,New Orleans,Smoothie King Center,,Tom Benson,Dell Demps,Alvin Gentry,No Affiliate,12.0,3.0,23.0,2018,2002,0.477,2018-19,NOP,New Orleans,pelicans,West,Southwest,Pelicans,21.0
4,1610612741.0,CHI,Bulls,1966.0,Chicago,United Center,21711,Jerry Reinsdorf,Gar Forman,Jim Boylen,Windy City Bulls,13.0,4.0,33.0,2018,1966,0.233,2018-19,CHI,Chicago,bulls,East,Central,Bulls,10.0
5,1610612742.0,DAL,Mavericks,1980.0,Dallas,American Airlines Center,19200,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends,13.0,4.0,23.0,2018,1980,0.465,2018-19,DAL,Dallas,mavericks,West,Southwest,Mavericks,20.0
6,1610612743.0,DEN,Nuggets,1976.0,Denver,Pepsi Center,19099,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate,2.0,1.0,14.0,2018,1976,0.674,2018-19,DEN,Denver,nuggets,West,Northwest,Nuggets,29.0
7,1610612744.0,GSW,Warriors,1946.0,Golden State,ORACLE Arena,19596,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,1.0,1.0,14.0,2018,1946,0.682,2018-19,GSW,Golden State,warriors,West,Pacific,Warriors,30.0
8,1610612745.0,HOU,Rockets,1967.0,Houston,Toyota Center,18104,Tilman Fertitta,Daryl Morey,Mike D'Antoni,Rio Grande Valley Vipers,4.0,1.0,18.0,2018,1967,0.581,2018-19,HOU,Houston,rockets,West,Southwest,Rockets,25.0
9,1610612746.0,LAC,Clippers,1970.0,Los Angeles,Staples Center,19060,Steve Ballmer,Michael Winger,Doc Rivers,Agua Caliente Clippers of Ontario,6.0,2.0,19.0,2018,1970,0.558,2018-19,LAC,LA,clippers,West,Pacific,Clippers,24.0
10,1610612747.0,LAL,Lakers,1948.0,Los Angeles,Staples Center,19060,Jerry Buss Family Trust,Rob Pelinka,Luke Walton,South Bay Lakers,9.0,3.0,21.0,2018,1948,0.523,2018-19,LAL,Los Angeles,lakers,West,Pacific,Lakers,23.0
11,1610612748.0,MIA,Heat,1988.0,Miami,AmericanAirlines Arena,19600,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce,6.0,1.0,21.0,2018,1988,0.5,2018-19,MIA,Miami,heat,East,Southeast,Heat,21.0
12,1610612749.0,MIL,Bucks,1968.0,Milwaukee,Fiserv Forum,17500,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd,2.0,1.0,12.0,2018,1968,0.721,2018-19,MIL,Milwaukee,bucks,East,Central,Bucks,31.0
13,1610612750.0,MIN,Timberwolves,1989.0,Minnesota,Target Center,19356,Glen Taylor,Scott Layden,Ryan Saunders,Iowa Wolves,11.0,5.0,23.0,2018,1989,0.477,2018-19,MIN,Minnesota,timberwolves,West,Northwest,Timberwolves,21.0
14,1610612751.0,BKN,Nets,1976.0,Brooklyn,Barclays Center,,Mikhail Prokhorov,Sean Marks,Kenny Atkinson,Long Island Nets,7.0,4.0,23.0,2018,1976,0.489,2018-19,BKN,Brooklyn,nets,East,Atlantic,Nets,22.0
15,1610612752.0,NYK,Knicks,1946.0,New York,Madison Square Garden,19763,Cablevision (James Dolan),Steve Mills,David Fizdale,Westchester Knicks,14.0,5.0,33.0,2018,1946,0.233,2018-19,NYK,New York,knicks,East,Atlantic,Knicks,10.0
16,1610612753.0,ORL,Magic,1989.0,Orlando,Amway Center,0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic,9.0,3.0,24.0,2018,1989,0.442,2018-19,ORL,Orlando,magic,East,Southeast,Magic,19.0
17,1610612754.0,IND,Pacers,1976.0,Indiana,Bankers Life Fieldhouse,18345,Herb Simon,Kevin Pritchard,Nate McMillan,Fort Wayne Mad Ants,3.0,2.0,14.0,2018,1976,0.674,2018-19,IND,Indiana,pacers,East,Central,Pacers,29.0
18,1610612755.0,PHI,76ers,1949.0,Philadelphia,Wells Fargo Center,,Joshua Harris, ,Brett Brown,Delaware Blue Coats,4.0,2.0,16.0,2018,1949,0.644,2018-19,PHI,Philadelphia,sixers,East,Atlantic,76ers,29.0
