,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,76001,Alaa,Abdelnaby,Alaa Abdelnaby,"Abdelnaby, Alaa",A. Abdelnaby,1968-06-24T00:00:00,Duke,USA,Duke/USA,6-10,240,4,30,Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_alaa_abdelnaby,1990,1994,N,Y,Y,1990,1,25
0,76002,Zaid,Abdul-Aziz,Zaid Abdul-Aziz,"Abdul-Aziz, Zaid",Z. Abdul-Aziz,1946-04-07T00:00:00,Iowa State,USA,Iowa State/USA,6-9,235,9,54,Center,Active,1610612745,Rockets,HOU,rockets,Houston,HISTADD_zaid_abdul-aziz,1968,1977,N,Y,Y,1968,1,5
0,76003,Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,1947-04-16T00:00:00,UCLA,USA,UCLA/USA,7-2,225,19,33,Center,Active,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1969,1988,N,Y,Y,1969,1,1
0,51,Mahmoud,Abdul-Rauf,Mahmoud Abdul-Rauf,"Abdul-Rauf, Mahmoud",M. Abdul-Rauf,1969-03-09T00:00:00,Louisiana State,USA,Louisiana State/USA,6-1,162,8,1,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,mahmoud_abdul-rauf,1990,2000,N,Y,Y,1990,1,3
0,1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,1974-11-03T00:00:00,San Jose State,France,San Jose State/France,6-6,235,6,9,Forward-Guard,Active,1610612758,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997,2003,N,Y,Y,1997,1,11
0,949,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,1976-12-11T00:00:00,California,USA,California/USA,6-9,245,12,3,Forward,Active,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996,2007,N,Y,Y,1996,1,3
0,76005,Tom,Abernethy,Tom Abernethy,"Abernethy, Tom",T. Abernethy,1954-05-06T00:00:00,Indiana,USA,Indiana/USA,6-7,220,4,5,Forward,Active,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_tom_abernethy,1976,1980,N,Y,Y,1976,3,43
0,76006,Forest,Able,Forest Able,"Able, Forest",F. Able,1932-07-27T00:00:00,Western Kentucky,USA,Western Kentucky; Louisville/USA,6-3,180,0,6,Guard,Active,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956,1956,N,Y,Y,1956,,
0,76007,John,Abramovic,John Abramovic,"Abramovic, John",J. Abramovic,1919-02-09T00:00:00,Salem International,USA,Salem (NC)/USA,6-3,195,1,,Forward,Active,1610610031,Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,1946,1947,N,Y,Y,Undrafted,Undrafted,Undrafted
0,203518,Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,1993-08-01T00:00:00,,Spain,Spain/Spain,6-6,200,2,8,Guard,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,alex_abrines,2016,2018,N,Y,Y,2013,2,32
0,101165,Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,1983-01-21T00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185,2,3,Guard,Active,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005,2008,Y,Y,Y,2005,2,60
0,76008,Donald,Ackerman,Donald Ackerman,"Ackerman, Donald",D. Ackerman,1930-09-04T00:00:00,Long Island-Brooklyn,USA,Long Island University/USA,6-0,183,0, ,Guard,Active,1610612752,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953,1953,N,Y,Y,1953,2,
0,76009,Mark,Acres,Mark Acres,"Acres, Mark",M. Acres,1962-11-15T00:00:00,Oral Roberts,USA,Oral Roberts/USA,6-11,220,5,42,Center,Active,1610612753,Magic,ORL,magic,Orlando,HISTADD_mark_acres,1987,1992,N,Y,Y,1985,2,40
